pre_skeleton_id,post_skeleton_id,weight
3347708,9847388,2
3347708,9889095,4
3347708,9897223,4
3347708,10056280,14
3347708,10163418,14
3347708,10809383,2
3347708,11524047,22
3347708,11525714,2
3347708,11624548,1
3347708,11813287,6
3347708,12350491,3
3347708,12380665,1
3347708,12384793,1
3347708,12422120,1
3347708,12475432,6
3347708,12488784,1
3347708,12704069,1
3347708,12871993,14
3347708,14077615,3
3347708,14141230,1
3347708,15421363,16
3347708,15592096,2
3347708,15617305,2
3347708,15673715,1
3347708,16178283,4
3347708,16240569,4
3347708,16318521,1
3347708,16691937,1
3347708,16720240,2
3347708,16797672,10
3347708,16846805,16
3347708,16850888,4
3347708,17013073,30
3347708,17013169,1
3347708,17295912,2
3347708,17603689,1
3347708,17884299,8
3347708,18548373,1
3347834,29,12
3347834,677717,6
3347834,2506050,4
3347834,3234817,14
3347834,3497901,4
3347834,3522293,2
3347834,3587612,4
3347834,3886356,2
3347834,4195012,2
3347834,4230749,2
3347834,4241237,4
3347834,4381377,2
3347834,4414184,4
3347834,4414426,4
3347834,4598363,4
3347834,4884579,2
3347834,4982172,6
3347834,5019924,2
3347834,5835815,8
3347834,5836035,2
3347834,5836181,6
3347834,6611894,2
3347834,6703240,4
3347834,7196392,2
3347834,7616956,12
3347834,7690945,2
3347834,7840791,6
3347834,7868195,2
3347834,7891312,6
3347834,7897469,6
3347834,7901791,2
3347834,8066411,2
3347834,8066542,4
3347834,8094859,4
3347834,8274902,6
3347834,8413663,2
3347834,8419602,6
3347834,8427677,2
3347834,8504660,8
3347834,8509987,8
3347834,8559607,2
3347834,8723397,4
3347834,8792120,2
3347834,8835968,10
3347834,8891315,6
3347834,8924186,2
3347834,8957325,4
3347834,8978117,2
3347834,8980589,6
3347834,8997281,2
3347834,9469519,2
3347834,9525492,2
3347834,9531722,2
3347834,9556700,2
3347834,9707941,12
3347834,9809626,2
3347834,9847388,6
3347834,9897223,4
3347834,10163418,2
3347834,10169396,2
3347834,10259967,2
3347834,11524047,2
3347834,11569700,1
3347834,12871993,4
3347834,15592096,6
3347834,15617305,4
3347834,16625432,4
3347834,16720240,4
3347834,16846805,2
3410499,3486381,2
3410499,7873135,91
3410506,4354933,72
3410506,7092417,2
3410506,7515491,5
3410506,7851153,1
3410506,11543212,2
3414508,4598109,4
3420915,4414163,13
3450442,3450751,8
3450442,16782830,1
3450442,17147698,2
3450751,2568465,1
3450751,2568522,2
3450751,2628785,2
3450751,2797312,1
3450751,2797480,8
3450751,3043970,2
3450751,3450442,4
3450751,3450751,4
3450751,4134539,6
3450751,4260935,4
3450751,4269017,1
3450751,4269025,1
3450751,4269245,1
3450751,4279887,2
3450751,4422289,1
3450751,4665186,2
3450751,4680995,1
3450751,5675990,10
3450751,5679304,1
3450751,5746180,3
3450751,6143930,14
3450751,6494274,6
3450751,6882233,1
3450751,7056904,1
3450751,7092086,4
3450751,7939890,2
3450751,7939979,2
3450751,7941652,1
3450751,7982896,1
3450751,8037197,1
3450751,8055569,6
3450751,8203947,3
3450751,8238322,17
3450751,8274021,1
3450751,8311264,1
3450751,8347613,1
3450751,8348277,1
3450751,8423405,2
3450751,8427166,1
3450751,8427205,1
3450751,8427212,1
3450751,8427297,1
3450751,8427306,1
3450751,8427320,1
3450751,8427327,1
3450751,8427343,1
3450751,8427391,1
3450751,8427398,1
3450751,8434905,1
3450751,8434913,1
3450751,8434930,1
3450751,8434937,1
3450751,8434944,1
3450751,8509534,1
3450751,8539175,2
3450751,8540770,1
3450751,8542422,4
3450751,8582134,9
3450751,8993049,1
3450751,10018260,5
3450751,10209260,1
3450751,10382686,1
3450751,10427055,1
3450751,10450811,2
3450751,10522857,1
3450751,10702736,1
3450751,10710503,1
3450751,10805074,1
3450751,10831005,1
3450751,10875625,3
3450751,10885466,1
3450751,10956927,2
3450751,10956994,2
3450751,10957169,3
3450751,10957198,1
3450751,10957222,2
3450751,10957325,1
3450751,10957424,1
3450751,11004239,9
3450751,11017761,6
3450751,11195708,2
3450751,11197167,1
3450751,11216417,3
3450751,11257084,3
3450751,11348509,5
3450751,11703922,5
3450751,11782821,4
3450751,12252572,1
3450751,12279909,2
3450751,12476851,3
3450751,12498338,8
3450751,12500843,1
3450751,12617396,2
3450751,12757360,1
3450751,12757375,1
3450751,12757385,1
3450751,12764662,1
3450751,12764668,1
3450751,12764674,1
3450751,12782494,2
3450751,12805363,4
3450751,13206239,1
3450751,13839806,5
3450751,13849557,2
3450751,13852833,1
3450751,14000746,1
3450751,14071449,2
3450751,14071613,3
3450751,14073503,1
3450751,14319185,1
3450751,14333495,21
3450751,14514597,1
3450751,14617508,2
3450751,15254005,1
3450751,15300438,1
3450751,15300588,1
3450751,15398730,2
3450751,15683002,2
3450751,15683007,2
3450751,15724908,1
3450751,15825861,1
3450751,16051878,1
3450751,16100461,2
3450751,16223537,4
3450751,16391031,2
3450751,16410304,4
3450751,16410340,1
3450751,16411473,3
3450751,16411478,2
3450751,16433696,6
3450751,16444544,1
3450751,16444758,8
3450751,16445073,1
3450751,16475849,3
3450751,16491773,2
3450751,16499306,2
3450751,16499317,1
3450751,16499327,2
3450751,16499372,1
3450751,16499447,1
3450751,16630479,1
3450751,16795153,1
3450751,16847995,1
